Education Level,Job Title,Years of Experience,Salary
Master,Marketing Manager,9,130000
Master,Senior Project Engineer,11,170000
Bachelor,Software Engineer,5,150000
Master,Marketing Director,14,195000
Bachelor,Data Analyst,2,110000
Bachelor,Junior Accountant,4,50000
Bachelor,Software Developer,3,60000
Bachelor,Back end Developer,3,75072
PhD,Director of Marketing,6,105000
Bachelor,Back end Developer,5,100000
Master,Software Engineer Manager,17,151670
PhD,Data Scientist,8,140000
Master,Web Developer,3,55000
Bachelor,Data Analyst,1,90000
Bachelor,Project Manager,6,110000
Bachelor,Software Engineer,3,80000
Bachelor,Data Analyst,1,90000
Master,Marketing Manager,9,130000
PhD,Software Engineer Manager,18,162454
Bachelor,Software Engineer,5,75000
Master,Senior Software Engineer,21,187081
Bachelor,Full Stack Engineer,25,179756
Master,Sales Representative,4,55000
Master,Senior Software Engineer,8,105000
Bachelor,Software Developer,3,60000
Master,Senior Software Engineer,18,180000
High School,Junior Sales Associate,1,30000
PhD,Senior Project Engineer,18,195000
Master,Human Resources Manager,15,152000
Master,Senior Software Engineer,5,99747
Master,Human Resources Manager,8,92000
Master,Product Manager,3,130000
Bachelor,Data Analyst,9,195000
PhD,Senior Project Engineer,17,195000
Bachelor,Junior Project Manager,2,40000
Bachelor,Full Stack Engineer,6,115000
Bachelor,Financial Manager,5,70000
Bachelor,Software Engineer,3,80000
PhD,Data Scientist,8,140000
Master,Marketing Coordinator,8,85000
PhD,Senior Product Marketing Manager,20,200000
High School,Junior Sales Associate,1,30000
Bachelor,Data Analyst,7,130000
Master,Back end Developer,8,140000
Bachelor,Software Developer,2,55000
High School,Sales Associate,0,25000
PhD,Software Engineer Manager,14,185000
Bachelor,Full Stack Engineer,7,130000
PhD,Research Director,12,175000
PhD,Data Scientist,23,225000
Bachelor,Product Manager,7,120000
Bachelor,Software Engineer,4,65000
Bachelor,Junior Software Developer,2,35000
High School,Junior Sales Associate,1,26000
PhD,Senior Project Engineer,14,190000
Master,Senior HR Generalist,2,55000
High School,Receptionist,0,25000
Bachelor,Junior Sales Representative,3,45000
Bachelor,Data Analyst,7,130000
Bachelor,Software Engineer,5,90000
Master,Marketing Manager,10,110000
Bachelor,Operations Manager,8,101000
Bachelor,Full Stack Engineer,7,130000
PhD,Senior Project Engineer,16,190000
Master,Product Manager,14,180000
Master,Marketing Manager,13,130000
Master,Senior Human Resources Manager,4,70000
High School,Sales Executive,1,35000
Bachelor,Product Manager,5,80000
Master,Human Resources Manager,15,152000
PhD,Data Scientist,8,140000
Bachelor,Junior Web Developer,2,45000
Master,Senior Software Engineer,9,150000
Bachelor,Data Analyst,3,130000
Master,Product Manager,14,180000
Bachelor,Operations Manager,6,75000
Master,Senior Project Engineer,25,177913
PhD,Software Engineer Manager,15,185000
Master,Marketing Manager,9,130000
Bachelor,Full Stack Engineer,3,90000
Bachelor,Operations Manager,6,90000
Bachelor,Software Engineer,4,140000
High School,Receptionist,0,25000
Master,Product Manager,11,198000
PhD,Senior Marketing Director,17,160000
High School,Junior Sales Associate,2,35000
Master,Senior Project Engineer,6,125000
Bachelor,Software Engineer Manager,8,135000
Master,Data Analyst,9,120000
High School,Receptionist,0,25000
Bachelor,Product Manager,1,60000
Master,Data Scientist,6,180000
Master,Data Scientist,6,180000
PhD,Senior Research Scientist,12,140000
Master,Digital Marketing Manager,3,50000
Bachelor,Front end Developer,4,90000
Bachelor,Junior Copywriter,3,45000
High School,Sales Associate,0,25000
Bachelor,Content Marketing Manager,7,90000
Master,Software Engineer,8,120000
Master,Human Resources Manager,14,146000
Master,Product Manager,12,196000
Master,Data Scientist,6,180000
PhD,Software Engineer Manager,17,195000
Master,Senior Software Engineer,23,185038
High School,Junior Web Developer,2,43000
Bachelor,Product Manager,4,150000
PhD,Content Marketing Manager,15,150000
Bachelor,Product Manager,1,60000
Bachelor,Marketing Analyst,4,70000
Master,Junior HR Generalist,1,32000
Bachelor,Financial Manager,15,200000
PhD,Director of Sales and Marketing,22,180000
High School,Junior HR Generalist,1,32000
Bachelor,Front end Developer,2,65000
Bachelor,Software Engineer,5,75000
Bachelor,Marketing Manager,9,130000
Master,Full Stack Engineer,6,110707
PhD,Software Engineer Manager,16,185000
Bachelor,Product Manager,8,130000
Master,Senior Human Resources Manager,18,160000
Bachelor,Product Designer,2,55000
Bachelor,Software Engineer,8,190000
High School,Junior Sales Associate,1,25000
Bachelor,Data Analyst,9,190000
Master,Data Scientist,9,140000
Master,Content Marketing Manager,19,190000
Bachelor,Product Manager,4,150000
PhD,Director of Data Science,18,210000
Bachelor,Marketing Analyst,2,50000
PhD,Data Scientist,16,160000
Master,Content Marketing Manager,4,80000
PhD,Director of Data Science,16,200000
Master,Senior Data Scientist,8,120000
Bachelor,Software Developer,2,55000
Bachelor,Junior HR Generalist,1,32000
Bachelor,Back end Developer,3,80000
PhD,Senior Project Engineer,19,200000
Bachelor,Software Engineer,5,160000
Master,Senior Software Engineer,9,145000
Master,Senior HR Generalist,11,100000
Bachelor,Senior Project Engineer,6,89995
Master,Front end Developer,5,105000
Bachelor,Marketing Analyst,2,50000
Bachelor,Software Engineer,3,70000
Master,Software Engineer Manager,12,160000
Bachelor,Sales Director,5,70000
PhD,Senior Project Engineer,17,195000
Bachelor,Marketing Analyst,3,60000
Bachelor,Marketing Analyst,4,75000
Bachelor,Software Engineer,8,190000
Master,Senior Human Resources Manager,4,70000
PhD,Research Director,11,160000
PhD,Software Engineer Manager,16,185000
High School,Receptionist,0,25000
Bachelor,Marketing Coordinator,5,90000
Bachelor,Product Manager,7,170000
Master,Software Engineer Manager,10,150000
Master,Digital Marketing Manager,14,140000
PhD,Senior Project Engineer,14,185000
Bachelor,Senior Product Marketing Manager,5,85000
PhD,Senior Project Engineer,17,195000
Bachelor,Data Analyst,9,190000
Master,Back end Developer,6,130000
Master,Marketing Manager,10,110000
Master,Product Manager,3,130000
Master,Front end Developer,9,119918
Bachelor,Marketing Manager,3,65000
PhD,Senior Software Engineer,12,170000
Bachelor,Product Designer,2,55000
PhD,Data Scientist,8,140000
Bachelor,Software Engineer Manager,9,104661
PhD,Full Stack Engineer,12,175000
Bachelor,Marketing Analyst,2,50000
Bachelor,Operations Manager,7,96000
Master,Product Manager,11,198000
Bachelor,Back end Developer,14,136449
Master,Data Scientist,6,180000
Bachelor,Product Manager,8,185000
High School,Sales Executive,1,35000
Bachelor,Junior HR Coordinator,2,50000
Bachelor,Product Designer,2,55000
PhD,Software Engineer Manager,32,191510
Master,Product Manager,14,180000
Bachelor,Financial Manager,16,215000
Master,Marketing Manager,14,140000
Master,Senior Software Engineer,24,184006
Bachelor,Back end Developer,4,72389
Master,Financial Analyst,6,100000
Bachelor,Software Engineer,3,80000
Master,Senior HR Generalist,8,95000
PhD,Data Scientist,24,240000
Bachelor,Software Engineer,3,80000
Bachelor,Senior Software Engineer,22,174324
Bachelor,Software Engineer,3,85000
Master,Human Resources Coordinator,3,49000
Bachelor,Software Engineer,5,150000
Master,Back end Developer,8,140000
Bachelor,Full Stack Engineer,8,122485
Master,Software Engineer Manager,13,170000
High School,Receptionist,0,25000
Bachelor,Junior Operations Manager,5,70000
Bachelor,Software Engineer,8,180000
Bachelor,Front end Developer,2,65000
High School,Junior Sales Associate,1,30000
Master,Back end Developer,6,130000
Bachelor,Front end Developer,4,90000
Master,Product Manager,12,196000
Bachelor,Data Analyst,3,110000
High School,Junior Sales Associate,2,30000
Bachelor,Full Stack Engineer,8,145000
Bachelor,Software Engineer,5,75000
Bachelor,Back end Developer,1,61095
Master,Director of HR,12,120000
Bachelor,Data Analyst,2,100000
Bachelor,Software Engineer,3,70000
Bachelor,Software Engineer,1,52000
Bachelor,Director of Marketing,8,80000
Bachelor,Senior Software Engineer,13,130000
Bachelor,Full Stack Engineer,27,183417
Bachelor,Software Developer,2,60000
High School,Junior Sales Associate,2,31000
Bachelor,Senior Project Engineer,0,51831
Master,Software Engineer Manager,13,170000
Bachelor,Front End Developer,3,70000
PhD,Research Director,11,160000
Master,Human Resources Coordinator,3,50000
Master,Senior Project Engineer,12,170000
Bachelor,Sales Director,8,80000
Master,Software Engineer Manager,14,142360
High School,Junior Sales Associate,1,26000
PhD,Director of Marketing,12,170000
Master,Product Manager,3,130000
Bachelor,Human Resources Manager,9,99000
Bachelor,Front end Developer,1,55000
High School,Junior Sales Associate,1,30000
Bachelor,Junior Marketing Specialist,5,70000
Bachelor,Marketing Analyst,2,50000
Bachelor,Financial Analyst,1,55000
Master,Front end Developer,13,127346
Bachelor,IT Support,2,50000
Bachelor,Front end Developer,2,65000
PhD,Software Engineer Manager,18,210000
Bachelor,Data Analyst,9,195000
High School,Junior Sales Associate,2,31000
Bachelor,Software Engineer,1,50000
Master,Senior Project Engineer,6,125000
PhD,Research Scientist,10,150000
Master,Software Engineer Manager,21,166512
Bachelor,Junior Software Developer,1,35000
PhD,Director of Data Science,16,200000
Bachelor,Data Analyst,2,110000
PhD,Data Scientist,17,168000
Bachelor,Software Engineer,4,70000
Master,Senior Software Engineer,10,155000
PhD,Data Scientist,18,180000
Bachelor,Senior Financial Manager,9,100000
Bachelor,Web Developer,6,80000
Bachelor,Junior Data Analyst,2,50000
Master,Front end Developer,3,72649
PhD,Software Engineer Manager,17,200000
Bachelor,Digital Marketing Specialist,4,65000
Bachelor,Product Manager,4,150000
High School,Sales Associate,0,25000
PhD,Marketing Manager,4,55000
Bachelor,Marketing Manager,7,90000
PhD,Data Scientist,24,240000
High School,Junior HR Generalist,1,32000
Bachelor,Sales Representative,1,35000
Master,Software Engineer Manager,9,146075
PhD,Data Scientist,8,140000
Master,Front end Developer,4,75656
PhD,Director of Marketing,12,170000
Bachelor,Sales Manager,11,160000
Master,Marketing Manager,10,110000
PhD,Data Scientist,19,190000
Master,Content Marketing Manager,18,180000
Master,Product Manager,11,196000
High School,Junior Sales Associate,1,26000
Bachelor,Data Analyst,11,160000
Bachelor,Marketing Analyst,2,50000
PhD,Data Scientist,22,220000
Master,Full Stack Engineer,4,91397
High School,Junior Sales Associate,1,30000
Master,Human Resources Manager,13,140000
Master,Back end Developer,8,140000
PhD,Sales Director,10,155000
Bachelor,Software Engineer,1,50000
Master,Data Scientist,6,180000
Bachelor,Software Engineer,5,160000
Bachelor,Marketing Coordinator,4,65000
Bachelor,Product Manager,13,160000
Bachelor,Social Media Manager,3,55000
Bachelor,Sales Manager,11,160000
Bachelor,Software Engineer,8,190000
PhD,Research Director,10,150000
Bachelor,Junior HR Generalist,1,32000
Master,Product Manager,11,198000
Master,Content Marketing Manager,4,80000
Master,Back end Developer,7,120000
Master,Director of Operations,19,170000
Bachelor,Software Developer,6,85000
PhD,Data Scientist,5,180000
Master,Front end Developer,5,105000
PhD,Director of Marketing,12,170000
PhD,Senior Project Engineer,13,185000
Bachelor,Financial Manager,16,200000
Bachelor,Junior Web Developer,3,50000
Bachelor,Data Analyst,3,120000
Master,Marketing Manager,9,135000
Bachelor,Junior Sales Representative,3,40000
Bachelor,Marketing Coordinator,5,95000
Bachelor,Senior Operations Coordinator,7,90000
Bachelor,Software Developer,3,60000
Bachelor,Financial Manager,16,200000
Master,Senior Software Engineer,8,150000
Bachelor,Junior Marketing Manager,5,70000
Bachelor,Junior Software Developer,1,35000
PhD,Research Scientist,12,170000
Bachelor,Back end Developer,4,71699
High School,Junior HR Generalist,2,35000
Master,Front end Developer,5,105000
Bachelor,Data Analyst,1,90000
Bachelor,Marketing Coordinator,5,95000
PhD,Director of HR,14,140000
High School,Sales Representative,2,40000
Master,Marketing Director,14,195000
PhD,Senior Project Engineer,16,190000
Bachelor,Senior Product Manager,14,150000
Bachelor,Junior Software Developer,2,36000
High School,Junior Sales Associate,1,26000
Bachelor,Junior Project Manager,4,60000
Bachelor,Financial Manager,16,200000
Bachelor,Front end Developer,3,67556
Bachelor,Project Manager,8,120000
Master,Data Analyst,1,100000
PhD,Research Director,12,170000
Bachelor,Junior Web Developer,3,50000
High School,Junior Sales Associate,1,26000
Master,Junior HR Generalist,1,32000
Master,Data Analyst,8,100000
Bachelor,Data Analyst,3,120000
High School,Junior Sales Associate,1,26000
Master,Data Scientist,6,180000
Master,Marketing Manager,11,120000
Master,Human Resources Director,20,180000
Master,Back end Developer,8,140000
Bachelor,Project Manager,6,110000
Bachelor,Product Manager,1,60000
Bachelor,Product Manager,7,120000
Master,Web Developer,6,80000
Bachelor,Data Analyst,3,130000
Bachelor,Front End Developer,4,80000
High School,Junior Sales Associate,1,25000
Bachelor,Software Engineer,4,65000
Bachelor,Human Resources Manager,8,92000
Bachelor,Product Manager,1,55000
PhD,Senior Human Resources Manager,15,150000
Bachelor,Marketing Manager,9,140000
Bachelor,Software Engineer,4,140000
Bachelor,Data Analyst,5,145000
PhD,Director of Marketing,6,105000
High School,Sales Representative,2,40000
Master,Marketing Coordinator,12,122000
Bachelor,Software Engineer,4,70000
Master,Marketing Manager,9,135000
Bachelor,Software Engineer,1,52000
PhD,Senior Human Resources Manager,15,150000
Master,Senior Project Engineer,6,125000
Bachelor,Marketing Coordinator,4,57000
Bachelor,Social Media Manager,3,55000
Master,Human Resources Manager,11,120000
Bachelor,Marketing Analyst,4,70000
High School,Sales Executive,1,35000
High School,Receptionist,0,25000
Master,Product Manager,7,110000
PhD,Full Stack Engineer,23,181021
Bachelor,Marketing Coordinator,4,65000
Master,Data Analyst,1,100000
Bachelor,Senior Marketing Coordinator,7,80000
Bachelor,Product Manager,7,120000
Bachelor,Product Designer,2,55000
Bachelor,Sales Representative,1,35000
Bachelor,Financial Manager,4,55000
Bachelor,Front end Developer,6,110000
PhD,Software Engineer Manager,23,188288
Bachelor,Data Analyst,2,110000
Bachelor,Junior Software Engineer,1,55000
Bachelor,Software Developer,2,55000
Bachelor,Operations Manager,5,70000
Bachelor,Product Designer,2,50000
PhD,Senior Project Engineer,13,185000
Master,Back end Developer,6,130000
PhD,Software Engineer Manager,19,156486
Bachelor,Senior Product Marketing Manager,5,85000
Master,Software Engineer Manager,12,160000
Bachelor,Software Engineer,5,160000
PhD,Software Engineer Manager,17,195000
Master,Digital Marketing Manager,14,140000
Bachelor,Human Resources Manager,9,99000
Bachelor,Marketing Analyst,3,60000
Bachelor,Content Marketing Manager,12,120000
Bachelor,Front End Developer,4,80000
Bachelor,Data Analyst,3,130000
PhD,Software Engineer Manager,17,195000
Bachelor,Back end Developer,1,60000
PhD,Senior Project Engineer,18,195000
PhD,Software Engineer Manager,17,195000
High School,Sales Associate,3,50000
Master,Data Analyst,1,100000
Bachelor,Data Analyst,9,195000
PhD,Director of HR,13,135000
Bachelor,Product Designer,2,55000
Bachelor,Data Analyst,3,100000
Bachelor,Software Developer,6,85000
PhD,Senior Human Resources Manager,10,110000
Bachelor,Back end Developer,3,80000
Master,Product Manager,3,130000
Bachelor,Full Stack Engineer,7,130000
Bachelor,Product Manager,5,160000
High School,Receptionist,0,25000
Bachelor,Back end Developer,5,100000
Master,Product Manager,7,110000
High School,Junior Sales Representative,0,25000
Master,Human Resources Manager,15,152000
PhD,Sales Director,18,180000
Bachelor,Front end Developer,2,65000
Bachelor,Financial Analyst,1,55000
Master,Full Stack Engineer,7,115920
Master,Full Stack Engineer,20,167924
PhD,Director of HR,14,140000
Master,Data Scientist,6,180000
Bachelor,Data Analyst,5,160000
Bachelor,Junior Software Developer,1,35000
Master,Human Resources Coordinator,3,49000
Bachelor,Junior Software Developer,1,35000
High School,Receptionist,0,25000
Master,Financial Manager,8,120000
Bachelor,Marketing Analyst,4,70000
Bachelor,Senior Project Engineer,3,70397
Master,Senior Software Engineer,13,134858
PhD,Data Scientist,7,170000
PhD,Senior Project Engineer,17,195000
Bachelor,Back end Developer,10,94502
High School,Junior Sales Representative,0,25000
Bachelor,Junior Operations Analyst,5,70000
Bachelor,Data Analyst,6,120000
Bachelor,Sales Manager,5,70000
Bachelor,Software Developer,6,85000
Bachelor,Senior Product Marketing Manager,5,85000
Bachelor,Senior Product Marketing Manager,5,85000
Master,Senior Software Engineer,18,180000
Master,Full Stack Engineer,13,146508
Bachelor,Marketing Coordinator,4,65000
Master,Marketing Manager,20,204000
Bachelor,Software Developer,3,60000
PhD,Director of Data Science,12,170000
PhD,Research Scientist,12,170000
PhD,Data Scientist,16,160000
Master,Marketing Manager,9,130000
Master,Data Analyst,8,100000
Master,Back end Developer,9,150000
Bachelor,Software Engineer,4,140000
Master,Data Scientist,9,140000
PhD,Data Scientist,13,138000
Bachelor,Software Engineer,8,190000
Master,Senior Software Engineer,18,180000
Bachelor,Junior Marketing Analyst,6,70000
Bachelor,Web Developer,4,65000
Bachelor,Software Engineer,4,140000
PhD,Senior Project Engineer,13,185000
Bachelor,Junior Marketing Coordinator,3,50000
High School,Customer Service Representative,1,30000
Bachelor,Financial Manager,16,215000
Master,Full Stack Engineer,5,105000
Bachelor,Full Stack Engineer,8,145000
Bachelor,Front end Developer,1,51265
Master,Marketing Manager,20,204000
Bachelor,Junior Financial Analyst,3,50000
High School,Junior Sales Associate,1,30000
PhD,Senior Project Engineer,13,185000
Master,Human Resources Manager,11,120000
Master,Sales Manager,14,140000
Master,Full Stack Engineer,9,131547
Master,Senior Software Engineer,9,150000
Bachelor,Sales Director,9,140000
PhD,Data Scientist,8,140000
Bachelor,Marketing Analyst,4,75000
Bachelor,Front end Developer,6,110000
Bachelor,Software Engineer,4,70000
Bachelor,Product Manager,13,160000
Bachelor,Marketing Coordinator,4,65000
Bachelor,Marketing Analyst,4,75000
Master,Director of Marketing,18,170000
PhD,Senior Product Marketing Manager,20,200000
Master,Digital Marketing Manager,3,50000
Master,Marketing Manager,20,204000
PhD,Data Scientist,5,100000
Bachelor,Marketing Analyst,3,65000
Master,Full Stack Engineer,15,170995
PhD,Senior Research Scientist,12,140000
Master,Data Scientist,10,145000
Bachelor,Senior Project Engineer,4,82944
Bachelor,Marketing Coordinator,5,95000
Master,Back end Developer,8,140000
Bachelor,Data Analyst,5,160000
Bachelor,Back end Developer,25,168287
PhD,Senior Data Scientist,13,170000
Bachelor,Marketing Coordinator,5,95000
Bachelor,Operations Manager,8,104000
Bachelor,Marketing Coordinator,5,85000
PhD,Senior Research Scientist,10,130000
Bachelor,Software Engineer,3,70000
Bachelor,Product Manager,1,60000
PhD,Director of HR,13,135000
PhD,Data Scientist,16,160000
Bachelor,Product Designer,2,55000
Bachelor,Operations Manager,10,113000
PhD,Senior Project Engineer,13,185000
Master,Full Stack Engineer,12,160976
Bachelor,Human Resources Manager,6,75000
Bachelor,Front end Developer,2,70000
PhD,Director of Data Science,20,220000
Master,Senior Software Engineer,32,195270
Bachelor,Marketing Analyst,3,65000
Bachelor,Social Media Manager,3,55000
PhD,Data Scientist,17,168000
Bachelor,Software Engineer,3,80000
Bachelor,Front end Developer,10,128999
Bachelor,Software Engineer,3,80000
High School,Junior Sales Representative,3,40000
Bachelor,Front end Developer,6,110000
Bachelor,Front end Developer,10,128999
Bachelor,Sales Director,6,75000
High School,Junior Web Developer,2,43000
Master,Senior Software Engineer,27,190004
Master,Front end Developer,10,119419
High School,Customer Service Representative,1,30000
Bachelor,Marketing Coordinator,4,65000
Bachelor,Software Engineer,4,140000
Master,Full Stack Engineer,15,171652
Bachelor,Marketing Analyst,3,60000
PhD,Research Director,12,170000
PhD,Research Director,16,190000
Bachelor,Marketing Coordinator,4,58000
PhD,Marketing Manager,7,90000
Bachelor,Data Analyst,3,110000
Master,Senior Software Engineer,19,152944
Bachelor,Software Engineer,8,180000
Master,Full Stack Engineer,6,130000
Master,Marketing Manager,9,130000
Bachelor,Financial Manager,16,200000
Master,Product Manager,7,110000
PhD,Data Scientist,15,150000
Master,Senior Project Engineer,11,170000
Bachelor,Operations Manager,6,75000
Bachelor,Software Developer,3,60000
Bachelor,Human Resources Manager,8,92000
PhD,Software Engineer Manager,15,185000
PhD,Senior Product Marketing Manager,20,200000
Master,Product Manager,3,130000
Master,Data Scientist,6,150000
Bachelor,Front end Developer,7,103282
Bachelor,Junior Data Analyst,2,50000
Master,Data Scientist,6,180000
Bachelor,Front end Developer,2,70000
Bachelor,Marketing Coordinator,4,65000
Master,Content Marketing Manager,4,80000
Master,Front end Developer,2,65840
PhD,Director of HR,14,140000
PhD,Senior Research Scientist,13,145000
Bachelor,Software Engineer,8,190000
Master,Back end Developer,6,125000
Bachelor,Junior HR Generalist,5,60000
Bachelor,Software Engineer,6,155000
PhD,Software Engineer Manager,17,195000
PhD,Senior Software Engineer,14,170000
Master,Senior Software Engineer,13,140010
Bachelor,Product Manager,1,55000
PhD,Senior Data Scientist,12,170000
PhD,Data Scientist,16,160000
High School,Junior Sales Associate,1,26000
Master,Senior Software Engineer,7,100000
Master,Software Engineer,2,60000
Master,Data Scientist,6,150000
Master,Full Stack Engineer,8,123781
PhD,Software Engineer Manager,17,195000
Master,Full Stack Engineer,17,155414
Bachelor,Product Manager,7,110000
Bachelor,Back end Developer,16,137489
Bachelor,Operations Manager,7,85000
High School,Receptionist,0,25000
Bachelor,Sales Representative,5,70000
Bachelor,Junior Software Engineer,1,45000
PhD,Research Director,11,160000
Bachelor,Back end Developer,2,65000
PhD,Software Engineer Manager,14,190000
Bachelor,Back end Developer,5,100000
Bachelor,Software Engineer,4,65000
PhD,Senior Project Engineer,16,190000
Bachelor,Technical Writer,2,45000
Bachelor,Product Manager,9,185000
PhD,Director of Data Science,16,200000
Bachelor,Software Developer,3,60000
Bachelor,Software Developer,2,55000
Master,Senior Project Engineer,12,170000
Bachelor,Digital Marketing Manager,6,95000
PhD,Data Scientist,15,157000
Master,Senior HR Generalist,11,115000
PhD,Software Engineer Manager,18,200000
Master,Senior Software Engineer,10,130355
Bachelor,Operations Manager,18,170000
PhD,Marketing Manager,4,55000
PhD,Senior Project Engineer,14,180000
PhD,Senior Research Scientist,13,145000
Master,Front end Developer,1,55000
Bachelor,Marketing Analyst,3,65000
Master,Financial Manager,8,120000
Bachelor,Software Engineer,3,60000
PhD,Senior Business Analyst,15,150000
Master,Financial Analyst,6,100000
Bachelor,Sales Director,7,90000
Bachelor,Junior Business Analyst,2,40000
PhD,Data Scientist,22,219000
PhD,Research Director,12,170000
Master,Financial Analyst,4,80000
Bachelor,Data Analyst,1,90000
Master,Data Scientist,9,140000
Bachelor,Financial Manager,16,210000
Master,Human Resources Manager,8,92000
PhD,Senior Research Scientist,12,140000
Bachelor,Product Manager,9,185000
Master,Business Analyst,5,80000
Master,Product Manager,11,195000
PhD,Software Engineer Manager,1,119836
PhD,Software Engineer Manager,19,155944
Bachelor,Back end Developer,3,75072
Bachelor,Marketing Analyst,4,70000
Bachelor,Network Engineer,3,60000
Bachelor,Back end Developer,12,132442
Bachelor,Software Engineer,4,75000
PhD,Software Engineer Manager,29,190543
Bachelor,Software Engineer,3,70000
Bachelor,Software Developer,3,61000
Bachelor,HR Manager,18,140000
Bachelor,Data Analyst,6,120000
PhD,Senior Project Engineer,14,190000
Master,Full Stack Engineer,4,104702
Master,Senior Project Engineer,5,101733
Master,Human Resources Manager,11,120000
Bachelor,Software Engineer,4,160000
PhD,Data Scientist,18,180000
Bachelor,Senior Project Engineer,3,70397
Bachelor,Software Engineer,4,160000
Bachelor,Back end Developer,1,55935
Master,Software Engineer Manager,19,163780
PhD,Director of Data Science,16,200000
PhD,Research Scientist,11,150000
PhD,Data Scientist,7,185000
PhD,Data Scientist,15,157000
PhD,Senior Software Engineer,14,170000
Bachelor,Senior Software Engineer,7,106218
Master,Marketing Manager,11,120000
Bachelor,Software Engineer,8,190000
Bachelor,Software Engineer,3,80000
Bachelor,Software Developer,5,80000
High School,Receptionist,0,25000
Bachelor,Financial Manager,4,55000
Bachelor,Software Developer,2,60000
PhD,Senior Project Engineer,13,185000
Bachelor,Project Manager,8,120000
Bachelor,Product Manager,4,150000
PhD,Software Engineer Manager,16,190000
High School,Junior Sales Associate,1,30000
Bachelor,Product Manager,5,85000
Bachelor,Data Analyst,2,110000
Bachelor,Software Engineer,5,150000
PhD,Sales Director,10,155000
Bachelor,Junior Software Developer,2,35000
Master,Senior Software Engineer,9,150000
PhD,Senior Software Engineer,12,160000
Master,Web Developer,4,65000
Master,Product Manager,7,110000
Master,Director of Marketing,18,180000
Master,Senior Project Engineer,12,170000
PhD,Research Director,10,150000
Bachelor,Software Developer,2,55000
PhD,Research Director,11,160000
Bachelor,Product Designer,3,60000
Bachelor,Software Engineer,5,90000
Bachelor,Junior Software Engineer,1,55000
Bachelor,Software Engineer,5,160000
Bachelor,Project Manager,8,120000
Bachelor,Software Engineer,5,90000
PhD,Data Scientist,13,140000
High School,Senior Project Engineer,1,52731
PhD,Software Engineer Manager,13,180000
Bachelor,Software Engineer,3,80000
Bachelor,Product Manager,1,60000
PhD,Data Scientist,18,183000
High School,Receptionist,0,25000
PhD,Data Scientist,7,170000
Bachelor,Marketing Analyst,3,65000
Master,Software Engineer,9,120000
Master,Financial Analyst,5,95000
Bachelor,Human Resources Manager,8,95000
Bachelor,Junior Web Developer,2,45000
Bachelor,Back end Developer,23,175966
PhD,Data Scientist,13,140000
Bachelor,Product Manager,8,185000
Bachelor,Operations Manager,10,113000
PhD,Senior Project Engineer,13,185000
Master,Marketing Director,14,180000
PhD,Senior Project Engineer,15,180000
Master,Product Manager,11,195000
Bachelor,Marketing Coordinator,4,50000
Master,Full Stack Engineer,4,110000
Bachelor,Marketing Coordinator,4,65000
PhD,Data Scientist,18,183000
PhD,Data Scientist,7,185000
Bachelor,Senior Project Engineer,0,52831
High School,Receptionist,0,25000
Bachelor,Marketing Coordinator,4,58000
PhD,Senior Product Marketing Manager,9,95000
Bachelor,Marketing Analyst,3,60000
Bachelor,Software Engineer,5,90000
Bachelor,Back end Developer,4,95000
PhD,Data Scientist,16,160000
Bachelor,Product Manager,3,70000
High School,Junior Sales Associate,1,25000
Bachelor,Marketing Analyst,3,60000
Master,Back end Developer,3,90000
Bachelor,Data Analyst,11,160000
Bachelor,Software Engineer,3,70000
Bachelor,Junior Financial Analyst,5,70000
High School,Junior HR Coordinator,1,32000
Bachelor,Data Analyst,2,95000
PhD,Senior Project Engineer,15,185000
PhD,Data Scientist,7,170000
PhD,Data Scientist,13,140000
Bachelor,Front end Developer,14,139095
Bachelor,Software Developer,6,85000
PhD,Data Scientist,7,170000
PhD,Director of Marketing,6,105000
Bachelor,Junior Business Development Associate,1,35000
Bachelor,Software Engineer,8,180000
Bachelor,Front end Developer,2,70000
Bachelor,Product Manager,4,130000
Bachelor,Back end Developer,19,120177
Master,Financial Analyst,6,100000
PhD,Senior Project Engineer,16,185000
Bachelor,Junior Software Engineer,2,48000
Bachelor,Full Stack Engineer,5,120000
Master,Data Scientist,6,180000
Master,Marketing Director,14,190000
Master,Back end Developer,3,90000
Master,Back end Developer,2,70000
Bachelor,Marketing Coordinator,4,65000
PhD,Software Engineer Manager,17,195000
PhD,Senior Project Engineer,16,190000
High School,Junior HR Generalist,1,32000
PhD,Director of Data Science,18,210000
PhD,Senior Project Engineer,14,190000
PhD,Marketing Manager,9,95000
Master,Data Analyst,8,100000
Bachelor,Data Analyst,11,160000
PhD,Software Engineer Manager,17,195000
PhD,Data Scientist,7,185000
Master,Data Analyst,8,100000
Bachelor,Front end Developer,1,55000
Bachelor,Content Marketing Manager,12,120000
Bachelor,Marketing Analyst,4,70000
Bachelor,Back end Developer,3,80000
Master,Senior Project Engineer,10,117314
Bachelor,Junior Marketing Manager,4,60000
Bachelor,Data Analyst,2,110000
High School,Sales Associate,1,30000
PhD,Software Engineer Manager,32,191510
Bachelor,Junior Web Developer,2,45000
Bachelor,Product Manager,1,60000
Bachelor,Operations Manager,11,119000
PhD,Data Scientist,22,220000
Master,Content Marketing Manager,16,160000
PhD,Senior Project Engineer,17,195000
Master,Human Resources Coordinator,3,49000
Master,Financial Analyst,6,100000
Bachelor,Back end Developer,3,80000
